led bulb,functionally coupled with,table lamp
table lamp,functionally coupled with,ac power socket
ac power socket,functionally coupled with,table lamp
table lamp,physically coupled with,table
table,physically coupled with,table lamp
cable,part of,table lamp
ceiling spotlight,located in,bedroom
ceiling spotlight,located in,living room
ceiling spotlight,located in,study room
ceiling spotlight,located in,dining room
ceiling spotlight,located in,children room
ceiling spotlight,located in,bathroom
ceiling spotlight,located in,hallway
ceiling spotlight,subclass of,lamp
ceiling spotlight,functionally coupled with,wall spotlight
wall spotlight,functionally coupled with,ceiling spotlight
ceiling spotlight,functionally coupled with,table lamp
table lamp,functionally coupled with,ceiling spotlight
ceiling spotlight,functionally coupled with,led bulb
led bulb,functionally coupled with,ceiling spotlight
ceiling spotlight,physically coupled with,ceiling
ceiling,physically coupled with,ceiling spotlight
wall spotlight,located in,bedroom
wall spotlight,located in,children room
wall spotlight,subclass of,lamp
wall spotlight,physically coupled with,wall
wall,physically coupled with,wall spotlight
wall spotlight,physically coupled with,bed frame
bed frame,physically coupled with,wall spotlight
cable,part of,wall spotlight
room darkening curtain,located in,bedroom
room darkening curtain,located in,children room
room darkening curtain,subclass of,curtain
room darkening curtain,physically coupled with,window
window,physically coupled with,room darkening curtain
room darkening curtain,functionally coupled with,ceiling spotlight
ceiling spotlight,functionally coupled with,room darkening curtain
sheer curtain,located in,bedroom
sheer curtain,located in,living room
sheer curtain,subclass of,curtain
sheer curtain,physically coupled with,window
window,physically coupled with,sheer curtain
sheer curtain,functionally coupled with,room darkening curtain
room darkening curtain,functionally coupled with,sheer curtain
mug,located in,bedroom
mug,located in,kitchen
mug,located in,dining room
mug,subclass of,cup
mug,physically coupled with,water
water,physically coupled with,mug
alarm clock,located in,bedroom
alarm clock,located in,children room
alarm clock,subclass of,clock
alarm clock,functionally coupled with,smart phone
smart phone,functionally coupled with,alarm clock
alarm clock,functionally coupled with,wall clock
wall clock,functionally coupled with,alarm clock
alarm clock,functionally coupled with,battery
battery,functionally coupled with,alarm clock
wall clock,located in,bedroom
wall clock,located in,living room
wall clock,subclass of,clock
wall clock,functionally coupled with,smart phone
smart phone,functionally coupled with,wall clock
wall clock,functionally coupled with,battery
battery,functionally coupled with,wall clock
wall clock,physically coupled with,wall
wall,physically coupled with,wall clock
printed book,located in,bedroom
printed book,located in,children room
printed book,located in,living room
printed book,functionally coupled with,wall spotlight
wall spotlight,functionally coupled with,printed book
printed book,functionally coupled with,table lamp
table lamp,functionally coupled with,printed book
printed book,functionally coupled with,ceiling spotlight
ceiling spotlight,functionally coupled with,printed book
printed book,functionally coupled with,marker pen
marker pen,functionally coupled with,printed book
printed book,physically coupled with,bookcase
bookcase,physically coupled with,printed book
bookcase,located in,study room
bookcase,located in,children room
bookcase,subclass of,cabinet
bookcase,physically coupled with,wall
wall,physically coupled with,bookcase
bookcase,physically coupled with,floor
floor,physically coupled with,bookcase
dressing table,located in,bedroom
dressing table,subclass of,table
dressing table,physically coupled with,wall
wall,physically coupled with,dressing table
dressing table,physically coupled with,floor
floor,physically coupled with,dressing table
dressing table,physically coupled with,table mirror
table mirror,physically coupled with,dressing table
dressing table,has attribute,high clearance
stool,located in,bedroom
stool,located in,living room
stool,subclass of,seat
stool,physically coupled with,dressing table
dressing table,physically coupled with,stool
stool,has attribute,moveable
stool,has attribute,high clearance
potted plant,located in,bedroom
potted plant,located in,living room
potted plant,subclass of,flowerpot
potted plant,functionally coupled with,smart air purifier
smart air purifier,functionally coupled with,potted plant
potted plant,physically coupled with,floor
floor,physically coupled with,potted plant
potted plant,physically coupled with,chest of drawers
chest of drawers,physically coupled with,potted plant
potted plant,physically coupled with,water
water,physically coupled with,potted plant
potted plant,has attribute,moveable
trolley,located in,bedroom
trolley,located in,bathroom
trolley,located in,living room
trolley,physically coupled with,floor
floor,physically coupled with,trolley
trolley,physically coupled with,mug
mug,physically coupled with,trolley
trolley,physically coupled with,potted plant
potted plant,physically coupled with,trolley
trolley,physically coupled with,towel
towel,physically coupled with,trolley
trolley,has attribute,moveable
trolley,has attribute,low clearance
chest of drawers,located in,bedroom
chest of drawers,located in,children room
chest of drawers,located in,hallway
chest of drawers,subclass of,cabinet
chest of drawers,physically coupled with,floor
floor,physically coupled with,chest of drawers
chest of drawers,physically coupled with,wall
wall,physically coupled with,chest of drawers
chest of drawers,physically coupled with,photo frame
photo frame,physically coupled with,chest of drawers
chest of drawers,physically coupled with,clothes
clothes,physically coupled with,chest of drawers
chest of drawers,has attribute,no clearance
wardrobe,located in,bedroom
wardrobe,located in,children room
wardrobe,subclass of,cabinet
wardrobe,functionally coupled with,chest of drawers
chest of drawers,functionally coupled with,wardrobe
wardrobe,functionally coupled with,led bulb
led bulb,functionally coupled with,wardrobe
wardrobe,physically coupled with,floor
floor,physically coupled with,wardrobe
wardrobe,physically coupled with,wall
wall,physically coupled with,wardrobe
wardrobe,has attribute,no clearance
table mirror,located in,bedroom
table mirror,located in,bathroom
table mirror,subclass of,mirror
table mirror,functionally coupled with,table lamp
table lamp,functionally coupled with,table mirror
table mirror,has attribute,fragile
tbale mirror,has attribute,moveable
standing mirror,located in,bedroom
standing mirror,located in,hallway
standing mirror,subclass of,mirror
standing mirror,physically coupled with,floor
floor,physically coupled with,standing mirror
standing mirror,functionally coupled with,ceiling spotlight
ceiling spotlight,functionally coupled with,standing mirror
standing mirror,functionally coupled with,smart phone
smart phone,functionally coupled with,standing mirror
standing mirror,has attribute,moveable
standing mirror,has attribute,fragile
decoration vase,located in,bedroom
decoration vase,subclass of,vase
decoration vase,physically coupled with,floor
floor,physically coupled with,decoration vase
decoration vase,has attribute,fragile
decoration vase,has attribute,moveable
glass vase,located in,bedroom
glass vase,located in,living room
glass vase,located in,hallway
glass vase,subclass of,vase
glass vase,has attribute,fragile
glass vase,has attribute,moveable
glass vase,physically coupled with,chest of drawers
chest of drawers,physically coupled with,glass vase
low pile rug,located in,bedroom
low pile rug,located in,living room
low pile rug,subclass of,rug
low pile rug,functionally coupled with,robot vacuum cleaner
robot vacuum cleaner,functionally coupled with,low pile rug
low pile rug,physically coupled with,floor
floor,physically coupled with,low pile rug
low pile rug,has attribute,low pile
low pile rug,material,polypropylene
ceiling fan,located in,bedroom
ceiling fan,located in,living room
ceiling fan,subclass of,fan appliance
ceiling fan,functionally coupled with,ac power socket
ac power socket,functionally coupled with,ceiling fan
ceiling fan,physically coupled with,ceiling
ceiling,physically coupled with,ceiling fan
loft bed,located in,children room
loft bed,subclass of,bed
loft bed,physically coupled with,wall
wall,physically coupled with,loft bed
loft bed,physically coupled with,floor
floor,physically coupled with,loft bed
loft bed,functionally coupled with,mattress
mattress,functionally coupled with,loft bed
bed tent,located in,children room
bed tent,subclass of,tent
bed tent,functionally coupled with,loft bed
loft bed,functionally coupled with,bed tent
bed tent,functionally coupled with,ceiling spotlight
ceiling spotlight,functionally coupled with,bed tent
children table lamp,located in,children room
children table lamp,subclass of,table lamp
children table lamp,physically coupled with,study desk
study desk,physically coupled with,children table lamp
children table lamp,functionally coupled with,led bulb
led bulb,functionally coupled with,children table lamp
cable,part of,children table lamp
wall lamp,located in,children room
wall lamp,located in,bathroom
wall lamp,subclass of,lamp
wall lamp,physically coupled with,wall
wall,physically coupled with,wall lamp
wall lamp,functionally coupled with,led bulb
led bulb,functionally coupled with,wall lamp
wall lamp,functionally coupled with,ceiling spotlight
ceiling spotlight,functionally coupled with,wall lamp
cot,located in,children room
cot,located in,bedroom
cot,subclass of,bed
cot,physically coupled with,floor
floor,physically coupled with,cot
cot,physically coupled with,wall
wall,physically coupled with,cot
cot,functionally coupled with,mattress
mattress,functionally coupled with,cot
cot,has attribute,low clearance
cot,interactive with,baby
high pile rug,located in,bedroom
high pile rug,subclass of,rug
high pile rug,physically coupled with,floor
floor,physically coupled with,high pile rug
high pile rug,has attribute,high pile
high pile rug,material,polypropylene
blackboard,located in,children room
blackboard,subclass of,writing implement
blackboard,physically coupled with,floor
floor,physically coupled with,blackboard
blackboard,physically coupled with,paper
paper,physically coupled with,blackboard
blackboard,physically coupled with,marker pen
marker pen,physically coupled with,blackboard
blackboard,has attribute,moverable
blackboard,has attribute,high clearance
nursery rug,located in,children room
nursery rug,subclass of,rug
nursery rug,physically coupled with,floor
floor,physically coupled with,nursery rug
nursery rug,functionally coupled with,robot vacuum cleaner
robot vacuum cleaner,functionally coupled with,nursery rug
nursery rug,has attribute,low pile
nursery curtains,located in,children room
nursery curtains,subclass of,curtain
nursery curtains,physically coupled with,window
window,physically coupled with,nursery curtains
nursery curtains,functionally coupled with,ceiling spotlight
ceiling spotlight,functionally coupled with,nursery curtains
freestanding basket,located in,children room
freestanding basket,subclass of,basket
freestanding basket,physically coupled with,doll
doll,physically coupled with,freestanding basket
freestanding basket,physically coupled with,floor
floor,physically coupled with,freestanding basket
freestanding basket,has attribute,moverable
study desk,located in,children room
study desk,subclass of,desk
study desk,physically coupled with,floor
floor,physically coupled with,study desk
study desk,physically coupled with,printed book
printed book,physically coupled with,study desk
study desk,has attribute,high clearance
work lamp,located in,children room
work lamp,located in,study room
work lamp,subclass of,lamp
work lamp,physically coupled with,study desk
study desk,physically coupled with,work lamp
work lamp,functionally coupled with,led bulb
led bulb,functionally coupled with,work lamp
cable,part of,work lamp
work lamp,has attribute,moverable
pedal bin,located in,children room
pedal bin,located in,study room
pedal bin,located in,bathroom
pedal bin,subclass of,waste container
pedal bin,physically coupled with,study desk
study desk,physically coupled with,pedal bin
pedal bin,physically coupled with,floor
floor,physically coupled with,pedal bin
pedal bin,has attribute,moverable
storage box,subclass of,box
storage box,located in,children room
storage box,physically coupled with,lego set
lego set,physically coupled with,storage box
storage box,physically coupled with,floor
floor,physically coupled with,storage box
storage box,functionally coupled with,storage combination
storage combination,functionally coupled with,storage box
storage box,material,plastic
storage box,has attribute,moverable
lego set,located in,children room
lego set,located in,bedroom
lego set,located in,living room
lego set,subclass of,construction set
lego set,subclass of,toy
lego set,physically coupled with,floor
floor,physically coupled with,lego set
lego set,physically coupled with,nursery rug
nursery rug,physically coupled with,lego set
lego set,physically coupled with,mattress
mattress,physically coupled with,lego set
lego set,has attribute,moverable
lego set,material,plastic
storage combination,located in,children room
storage combination,subclass of,storage
storage combination,physically coupled with,floor
floor,physically coupled with,storage combination
storage combination,physically coupled with,wall
wall,physically coupled with,storage combination
children's desk chair,located in,children room
children's desk chair,subclass of,chair
children's desk chair,physically coupled with,floor
floor,physically coupled with,children's desk chair
children's desk chair,functionally coupled with,study desk
study desk,functionally coupled with,children's desk chair
children's desk chair,has attribute,moveable
children's desk chair,has attribute,low clearance
children's stool,located in,children room
children's stool,subclass of,seat
children's stool,physically coupled with,floor
floor,physically coupled with,children's stool
children's stool,has attribute,moveable
children's stool,has attribute,low clearance
children's stool,material,plastic
step stool,located in,children room
step stool,located in,bathroom
step stool,subclass of,seat
step stool,physically coupled with,floor
floor,physically coupled with,step stool
step stool,physically coupled with,bath mat
bath mat,physically coupled with,step stool
step stool,has attribute,moverable
step stool,has attribute,low clearance
step stool,material,plastic
children's armchair,located in,children room
children's armchair,subclass of,chair
children's armchair,physically coupled with,floor
floor,physically coupled with,children's armchair
children's armchair,has attribute,high clearance
folding gym mat,located in,children room
folding gym mat,located in,bedroom
folding gym mat,subclass of,mat
folding gym mat,physically coupled with,floor
floor,physically coupled with,folding gym mat
folding gym mat,has attribute,moveable
folding gym mat,material,polyester
picture frame,located in,bedroom
picture frame,located in,children room
picture frame,located in,hallway
picture frame,physically coupled with,wall
wall,physically coupled with,picture frame
stuffed toy,located in,children room
stuffed toy,subclass of,comfort object
stuffed toy,subclass of,toy
stuffed toy,physically coupled with,floor
floor,physically coupled with,stuffed toy
stuffed toy,physically coupled with,nursery rug
nursery rug,physically coupled with,stuffed toy
stuffed toy,physically coupled with,mattress
mattress,physically coupled with,stuffed toy
stuffed toy,has attribute,moverable
stuffed toy,functionally coupled with,washing machine
washing machine,functionally coupled with,stuffed toy
stuffed toy,functionally coupled with,dryer
dryer,functionally coupled with,stuffed toy
book box,located in,children room
book box,subclass of,box
book box,physically coupled with,printed book
printed book,physically coupled with,book box
book box,physically coupled with,floor
floor,physically coupled with,book box
storage bag,located in,children room
storage bag,subclass of,bag
storage bag,physically coupled with,floor
floor,physically coupled with,storage bag
storage bag,physically coupled with,stuffed toy
stuffed toy,physically coupled with,storage bag
storage bag,has attribute,moverable
ipad,located in,bedroom
ipad,located in,bathroom
ipad,located in,children room
ipad,located in,living room
ipad,located in,kitchen
ipad,subclass of,tablet computer
ipad,physically coupled with,bedside table
bedside table,physically coupled with,ipad
ipad,physically coupled with,dressing table
dressing table,physically coupled with,ipad
ipad,physically coupled with,washstand
washstand,physically coupled with,ipad
ipad,physically coupled with,study desk
study desk,physically coupled with,ipad
ipad,functionally coupled with,usb charger
usb charger,functionally coupled with,ipad
ipad,functionally coupled with,smart phone
smart phone,functionally coupled with,ipad
ipad,functionally coupled with,wifi router
wifi router,functionally coupled with,ipad
ipad,functionally coupled with,smart speaker
smart speaker,functionally coupled with,ipad
ipad,functionally coupled with,smart e-book reader
smart e-book reader,functionally coupled with,ipad
ipad,functionally coupled with,battery
battery,functionally coupled with,ipad
cable,part of,usb charger
usb charger,functionally coupled with,smart meter
smart meter,functionally coupled with,usb charger
smart phone,located in,bedroom
smart phone,located in,bathroom
smart phone,located in,children room
smart phone,located in,living room
smart phone,located in,kitchen
smart phone,located in,hallway
smart phone,physically coupled with,bedside table
bedside table,physically coupled with,smart phone
smart phone,physically coupled with,dressing table
dressing table,physically coupled with,smart phone
smart phone,physically coupled with,washstand
washstand,physically coupled with,smart phone
smart phone,physically coupled with,study desk
study desk,physically coupled with,smart phone
smart phone,physically coupled with,bed
bed,physically coupled with,smart phone
smart phone,physically coupled with,chest of drawers
chest of drawers,physically coupled with,smart phone
smart phone,functionally coupled with,usb charger
usb charger,functionally coupled with,smart phone
smart phone,functionally coupled with,wifi router
wifi router,functionally coupled with,smart phone
smart phone,functionally coupled with,kindle
kindle,functionally coupled with,smart phone
smart phone,functionally coupled with,smart speaker
smart speaker,functionally coupled with,smart phone
smart phone,functionally coupled with,smart air conditioner
smart air conditioner,functionally coupled with,smart phone
smart blinds,located in,bedroom
smart blinds,located in,children room
smart blinds,located in,living room
smart blinds,physically coupled with,window
window,physically coupled with,smart blinds
smart blinds,functionally coupled with,smart led bulb
smart led bulb,functionally coupled with,smart blinds
cable,part of,smart blinds
smart curtain,located in,bedroom
smart curtain,located in,children room
smart curtain,located in,living room
smart curtain,physically coupled with,window
window,physically coupled with,smart curtain
smart curtain,functionally coupled with,smart curtain
smart curtain,functionally coupled with,smart curtain
smart curtain,functionally coupled with,smart led bulb
smart led bulb,functionally coupled with,smart curtain
smart curtain,functionally coupled with,room darkening curtain
room darkening curtain,functionally coupled with,smart curtain
smart curtain,functionally coupled with,sheer curtain
sheer curtain,functionally coupled with,smart curtain
cable,part of,smart curtain
smart curtain,functionally coupled with,smart meter
smart meter,functionally coupled with,smart curtain
smart frame,located in,bedroom
smart frame,located in,children room
smart frame,located in,living room
smart frame,located in,hallway
smart frame,subclass of,picture frame
smart frame,physically coupled with,wall
wall,physically coupled with,smart frame
smart frame,physically coupled with,chest of drawers
chest of drawers,physically coupled with,smart frame
smart frame,functionally coupled with,smart led bulb
smart led bulb,functionally coupled with,smart frame
cable,part of,smart frame
cable,functionally coupled with,smart meter
smart meter,functionally coupled with,cable
kindle,located in,bedroom
kindle,located in,study room
kindle,subclass of,e-book reader
kindle,physically coupled with,study desk
study desk,physically coupled with,kindle
kindle,physically coupled with,bedside table
bedside table,physically coupled with,kindle
kindle,physically coupled with,memory foam mattress
memory foam mattress,physically coupled with,kindle
kindle,functionally coupled with,alarm clock
alarm clock,functionally coupled with,kindle
kindle,functionally coupled with,table lamp
table lamp,functionally coupled with,kindle
kindle,functionally coupled with,wall spotlight
wall spotlight,functionally coupled with,kindle
smart clock,located in,bedroom
smart clock,located in,children room
smart clock,subclass of,clock
smart clock,physically coupled with,bedside table
bedside table,physically coupled with,smart clock
smart clock,physically coupled with,study desk
study desk,physically coupled with,smart clock
smart clock,functionally coupled with,alarm clock
alarm clock,functionally coupled with,smart clock
smart clock,functionally coupled with,wall clock
wall clock,functionally coupled with,smart clock
smart clock,functionally coupled with,battery
battery,functionally coupled with,smart clock
smart air purifier,located in,bedroom
smart air purifier,located in,living room
smart air purifier,located in,children room
smart air purifier,subclass of,air purifier
smart air purifier,physically coupled with,floor
floor,physically coupled with,smart air purifier
smart air purifier,physically coupled with,chest of drawers
chest of drawers,physically coupled with,smart air purifier
smart air purifier,functionally coupled with,wifi router
wifi router,functionally coupled with,smart air purifier
smart air purifier,functionally coupled with,smart phone
smart phone,functionally coupled with,smart air purifier
smart air purifier,has attribute,moveable
cable,part of,smart air purifier
smart air conditioner,located in,bedroom
smart air conditioner,located in,living room
smart air conditioner,subclass of,air conditioner
smart air conditioner,physically coupled with,wall
wall,physically coupled with,smart air conditioner
smart air conditioner,functionally coupled with,ceiling fan
ceiling fan,functionally coupled with,smart air conditioner
smart air conditioner,functionally coupled with,wifi router
wifi router,functionally coupled with,smart air conditioner
smart air conditioner,functionally coupled with,smart meter
smart meter,functionally coupled with,smart air conditioner
cable,part of,smart air conditioner
air quality sensor,located in,bedroom
air quality sensor,located in,living room
air quality sensor,located in,children room
air quality sensor,subclass of,sensor
air quality sensor,physically coupled with,chest of drawers
chest of drawers,physically coupled with,air quality sensor
air quality sensor,functionally coupled with,battery
battery,functionally coupled with,air quality sensor
smart scale,located in,bathroom
smart scale,subclass of,scale
smart scale,physically coupled with,floor
floor,physically coupled with,smart scale
smart scale,functionally coupled with,smart phone
smart phone,functionally coupled with,smart scale
smart scale,functionally coupled with,battery
battery,functionally coupled with,smart scale
smart led bulb,located in,bedroom
smart led bulb,located in,bathroom
smart led bulb,located in,living room
smart led bulb,located in,hallway
smart led bulb,located in,children room
smart led bulb,subclass of,light bulb
smart led bulb,functionally coupled with,smart phone
smart phone,functionally coupled with,smart led bulb
smart led bulb,functionally coupled with,wi-fi router
wi-fi router,functionally coupled with,smart led bulb
smart led bulb,functionally coupled with,smart meter
smart meter,functionally coupled with,smart led bulb
smart toothbrush,located in,bathroom
smart toothbrush,subclass of,toothbrush
smart toothbrush,physically coupled with,washstand
washstand,physically coupled with,smart toothbrush
smart toothbrush,functionally coupled with,makeup mirror
makeup mirror,functionally coupled with,smart toothbrush
smart toothbrush,functionally coupled with,smart phone
smart phone,functionally coupled with,smart toothbrush
smart toothbrush,functionally coupled with,battery
battery,functionally coupled with,smart toothbrush
smart toilet seat,located in,bathroom
smart toilet seat,subclass of,toilet seat
smart toilet seat,physically coupled with,toilet
toilet,physically coupled with,smart toilet seat
smart toilet seat,functionally coupled with,wifi router
wifi router,functionally coupled with,smart toilet seat
smart speaker,located in,bedroom
smart speaker,located in,living room
smart speaker,located in,children room
smart speaker,located in,kitchen
smart speaker,subclass of,smart device
smart speaker,subclass of,loudspeaker
smart speaker,physically coupled with,study desk
study desk,physically coupled with,smart speaker
smart speaker,physically coupled with,chest of drawers
chest of drawers,physically coupled with,smart speaker
smart speaker,physically coupled with,dining table
dining table,physically coupled with,smart speaker
smart speaker,physically coupled with,bedside table
bedside table,physically coupled with,smart speaker
smart speaker,functionally coupled with,smart led bulb
smart led bulb,functionally coupled with,smart speaker
cable,part of,smart speaker
children smart watch,located in,children room
children smart watch,subclass of,wristwatch
children smart watch,subclass of,wearable technology
children smart watch,physically coupled with,bedside table
bedside table,physically coupled with,children smart watch
children smart watch,physically coupled with,study desk
study desk,physically coupled with,children smart watch
children smart watch,functionally coupled with,smart phone
smart phone,functionally coupled with,children smart watch
children smart watch,functionally coupled with,wifi router
wifi router,functionally coupled with,children smart watch
smart tv,located in,bedroom
smart tv,located in,living room
smart tv,subclass of,television set
smart tv,physically coupled with,tv cabinet
tv cabinet,physically coupled with,smart tv
smart tv,functionally coupled with,smart phone
smart phone,functionally coupled with,smart tv
smart tv,functionally coupled with,ipad
ipad,functionally coupled with,smart tv
smart tv,functionally coupled with,smart meter
smart meter,functionally coupled with,smart tv
cable,part of,smart tv
smart projector,located in,bedroom
smart projector,located in,living room
smart projector,physically coupled with,tv cabinet
tv cabinet,physically coupled with,smart projector
smart projector,physically coupled with,ceiling
ceiling,physically coupled with,smart projector
smart projector,functionally coupled with,smart phone
smart phone,functionally coupled with,smart projector
smart projector,functionally coupled with,wifi router
wifi router,functionally coupled with,smart projector
smart projector,functionally coupled with,smart led bulb
smart led bulb,functionally coupled with,smart projector
smart projector,functionally coupled with,smart meter
smart meter,functionally coupled with,smart projector
smart projector,functionally coupled with,wall
wall,functionally coupled with,smart projector
cable,part of,smart projector
smart baby monitor,located in,children room
smart baby monitor,subclass of,monitor
smart baby monitor,functionally coupled with,smart phone
smart phone,functionally coupled with,smart baby monitor
smart baby monitor,functionally coupled with,smart meter
smart meter,functionally coupled with,smart baby monitor
cable,part of,smart baby monitor
smart meter,subclass of,electricity meter
smart meter,subclass of,smart device
smart glass,located in,bedroom
smart glass,located in,living room
smart glass,located in,children room
smart glass,located in,bathroom
smart glass,located in,study room
smart glass,subclass of,glass
smart glass,physically coupled with,window
window,physically coupled with,smart glass
smart glass,physically coupled with,wall
wall,physically coupled with,smart glass
smart glass,functionally coupled with,smart curtain
smart curtain,functionally coupled with,smart glass
smart glass,functionally coupled with,smart phone
smart phone,functionally coupled with,smart glass
smart glass,functionally coupled with,smart led bulb
smart led bulb,functionally coupled with,smart glass
smartglasses,located in,bedroom
smartglasses,subclass of,wearable computer
smartglasses,subclass of,eyeglasses
smartglasses,physically coupled with,bedside table
bedside table,physically coupled with,smartglasses
smartglasses,functionally coupled with,usb charger
usb charger,functionally coupled with,smartglasses
smartglasses,functionally coupled with,wifi router
wifi router,functionally coupled with,smartglasses
smartglasses,functionally coupled with,smart phone
smart phone,functionally coupled with,smartglasses
smartglasses,functionally coupled with,smart speaker
smart speaker,functionally coupled with,smartglasses
corner wall shelf,located in,bathroom
corner wall shelf,subclass of,shelf
corner wall shelf,physically coupled with,wall
wall,physically coupled with,corner wall shelf
corner wall shelf,physically coupled with,shampoo
shampoo,physically coupled with,corner wall shelf
corner wall shelf,physically coupled with,soap
soap,physically coupled with,corner wall shelf
shower curtain,located in,bathroom
shower curtain,subclass of,curtain
shower curtain,physically coupled with,wall
wall,physically coupled with,shower curtain
shower curtain,physically coupled with,floor
floor,physically coupled with,shower curtain
shower curtain,physically coupled with,water
water,physically coupled with,shower curtain
bath towel,located in,bathroom
bath towel,subclass of,towel
bath towel,physically coupled with,towel rack
towel rack,physically coupled with,bath towel
bath towel,material,cotton
towel rack,located in,bathroom
towel rack,located in,kitchen
towel rack,subclass of,furniture
towel rack,physically coupled with,wall
wall,physically coupled with,towel rack
wash basin,located in,bathroom
wash basin,subclass of,container
wash basin,physically coupled with,wash-basin cabinet
wash-basin cabinet,physically coupled with,wash basin
wash basin,physically coupled with,water
water,physically coupled with,wash basin
wash-basin cabinet,located in,bathroom
wash-basin cabinet,subclass of,cabinet
wash-basin cabinet,functionally coupled with,wash basin
wash basin,functionally coupled with,wash-basin cabinet
wash-basin cabinet,physically coupled with,wall
wall,physically coupled with,wash-basin cabinet
wash-basin cabinet,has attribute,low clearance
washstand,located in,bathroom
washstand,subclass of,furniture
washstand,physically coupled with,wall
wall,physically coupled with,washstand
washstand,physically coupled with,toothbrush
toothbrush,physically coupled with,washstand
washstand,physically coupled with,soap
soap,physically coupled with,washstand
toilet roll holder,located in,bathroom
toilet roll holder,subclass of,holder
toilet roll holder,physically coupled with,wall
wall,physically coupled with,toilet roll holder
toilet roll holder,functionally coupled with,toiler roll
toiler roll,functionally coupled with,toilet roll holder
baby bath,located in,bathroom
baby bath,physically coupled with,floor
floor,physically coupled with,baby bath
baby bath,physically coupled with,water
water,physically coupled with,baby bath
baby bath,has attribute,moveable
baby bath,interactive with,baby
makeup mirror,located in,bathroom
makeup mirror,located in,bedroom
makeup mirror,subclass of,mirror
makeup mirror,physically coupled with,washstand
washstand,physically coupled with,makeup mirror
makeup mirror,functionally coupled with,led bulb
led bulb,functionally coupled with,makeup mirror
cable,part of,makeup mirror
makeup mirror,has attribute,fragile
mirror with integrated lighting,located in,bathroom
mirror with integrated lighting,located in,bedroom
mirror with integrated lighting,located in,hallway
mirror with integrated lighting,physically coupled with,wall
wall,physically coupled with,mirror with integrated lighting
mirror with integrated lighting,functionally coupled with,led bulb
led bulb,functionally coupled with,mirror with integrated lighting
mirror with integrated lighting,functionally coupled with,smart phone
smart phone,functionally coupled with,mirror with integrated lighting
cable,part of,mirror with integrated lighting
mirror with integrated lighting,has attribute,fragile
cable,part of,wall lamp
shower head,located in,bathroom
shower head,part of,shower
shower head,functionally coupled with,hot water heater
hot water heater,functionally coupled with,shower head
shower head,physically coupled with,wall
wall,physically coupled with,shower head
shower head,physically coupled with,water
water,physically coupled with,shower head
hand shower,located in,bathroom
hand shower,part of,shower
hand shower,functionally coupled with,hot water heater
hot water heater,functionally coupled with,hand shower
hand shower,physically coupled with,wall
wall,physically coupled with,hand shower
hand shower,physically coupled with,water
water,physically coupled with,hand shower
hand shower,has attribute,moveable
shower mixer,located in,bathroom
